fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_control_time_per_fight,fighter_a_reversals,fighter_a_round1_control_time,fighter_a_round1_reversals,fighter_a_round1_sig_strikes_landed,fighter_a_round1_sig_strikes_attempted,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_a_distance_strikes_landed,fighter_a_distance_strikes_attempted,fighter_a_clinch_strikes_landed,fighter_a_clinch_strikes_attempted,fighter_a_ground_strikes_landed,fighter_a_ground_strikes_attempted,fighter_b_reversals,fighter_b_round1_control_time,fighter_b_round1_reversals,fighter_b_round1_sig_strikes_landed,fighter_b_round1_sig_strikes_attempted,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted,fighter_b_distance_strikes_landed,fighter_b_distance_strikes_attempted,fighter_b_clinch_strikes_landed,fighter_b_clinch_strikes_attempted,fighter_b_ground_strikes_landed,fighter_b_ground_strikes_attempted,fighter_a_sig_strikes_landed,fighter_a_sig_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_control_time,fighter_a_knockdowns,fighter_a_submission_attempts,fighter_a_fight_minutes,fighter_b_sig_strikes_landed,fighter_b_sig_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_control_time,fighter_b_knockdowns,fighter_b_submission_attempts,fighter_b_fight_minutes,reach_diff,age_diff,method,A_open_odds,B_open_odds,A_open_prob,B_open_prob,opening_odds_diff,implied_prob_A
a5a81a39ccf9b680,"December 13, 2025",Flyweight,0,Brandon Royval,Manel Kape,33.3,69.0,68.0,125.0,0.0,32.1,65.0,68.0,125.0,1.2121212121212122,0.0,0.0,0.0,17.0,26.0,5.0,10.0,6.0,8.0,6.0,8.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,23.0,6.0,10.0,5.0,6.0,6.0,7.0,15.0,21.0,0.0,0.0,2.0,2.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,3.3,17.0,23.0,0.0,0.0,4.0,1.0,0.0,3.3,0.0,1.1999999999999955,KO/TKO,,,,,,
24bb03f0a3415fbe,"December 13, 2025",Featherweight,0,Giga Chikadze,Kevin Vallejos,37.3,72.0,74.0,145.0,0.0,24.0,67.0,68.0,145.0,13.573264781491002,0.0,0.0,0.0,9.0,17.0,2.0,10.0,10.0,10.0,0.0,2.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,9.0,18.0,14.0,24.0,2.0,3.0,4.0,5.0,15.0,26.0,1.0,2.0,4.0,4.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,6.483333333333333,20.0,32.0,0.0,1.0,88.0,1.0,0.0,6.483333333333333,6.0,13.299999999999995,KO/TKO,,,,,,
d000cb692343cdcd,"December 13, 2025",Middleweight,0,Cesar Almeida,Cezary Oleksiejczuk,37.7,73.0,74.0,185.0,1.933333333333333,25.9,75.0,75.0,185.0,45.0,1.0,0.0,0.0,4.0,5.0,2.0,7.0,7.0,9.0,3.0,4.0,12.0,17.0,0.0,0.0,0.0,3.0,1.0,219.0,0.0,5.0,6.0,9.0,13.0,5.0,6.0,0.0,0.0,10.0,15.0,1.0,1.0,3.0,3.0,12.0,20.0,0.0,0.0,29.0,0.0,0.0,15.0,14.0,19.0,6.0,7.0,675.0,0.0,0.0,15.0,-1.0,11.800000000000004,Decision - Unanimous,,,,,,
93ca562453f65b8d,"December 13, 2025",Featherweight,1,Melquizael Costa,Morgan Charriere,29.3,70.0,71.0,145.0,1.6216216216216215,30.1,68.0,69.0,145.0,0.0,0.0,2.0,0.0,4.0,9.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,2.0,1.0,0.0,1.2333333333333334,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,2.0,-0.8000000000000007,KO/TKO,,,,,,
47149f3187661509,"December 13, 2025",Heavyweight,0,Kennedy Nzechukwu,Marcus Buchecha,33.5,77.0,83.0,236.0,14.466666666666669,35.9,74.0,77.0,255.0,25.33333333333333,0.0,38.0,0.0,9.0,18.0,21.0,43.0,3.0,5.0,0.0,0.0,13.0,32.0,2.0,2.0,9.0,14.0,0.0,142.0,0.0,2.0,9.0,23.0,38.0,4.0,6.0,0.0,0.0,2.0,12.0,2.0,4.0,23.0,28.0,24.0,48.0,0.0,0.0,217.0,0.0,0.0,15.0,27.0,44.0,3.0,13.0,380.0,0.0,0.0,15.0,6.0,-2.3999999999999986,Decision - Unanimous,,,,,,
fc4ab243d21b795d,"December 13, 2025",Catch Weight,1,King Green,Lance Gibson Jr.,39.3,70.0,71.0,155.0,2.933333333333333,30.9,69.0,72.0,155.0,4.666666666666667,0.0,0.0,0.0,22.0,51.0,25.0,77.0,24.0,40.0,16.0,24.0,56.0,129.0,1.0,1.0,8.0,11.0,0.0,0.0,0.0,12.0,35.0,9.0,39.0,8.0,14.0,13.0,19.0,27.0,66.0,3.0,6.0,0.0,0.0,65.0,141.0,1.0,2.0,44.0,0.0,0.0,15.0,30.0,72.0,2.0,3.0,70.0,0.0,0.0,15.0,-1.0,8.399999999999999,Decision - Split,,,,,,
0fca825e14429c1f,"December 13, 2025",Welterweight,0,Neil Magny,Yaroslav Amosov,38.4,75.0,80.0,170.0,0.0,32.3,72.0,75.0,170.0,35.876288659793815,0.0,0.0,0.0,5.0,11.0,2.0,8.0,2.0,2.0,1.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,9.0,19.0,3.0,12.0,0.0,0.0,6.0,7.0,8.0,17.0,0.0,0.0,1.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,3.2333333333333334,9.0,19.0,1.0,2.0,116.0,0.0,1.0,3.2333333333333334,5.0,6.100000000000001,Submission,,,,,,
225e93ebed9b71b8,"December 13, 2025",Featherweight,1,Joanderson Brito,Isaac Thomson,30.9,68.0,72.0,145.0,31.933333333333334,23.6,70.0,69.0,145.0,12.0,1.0,89.0,0.0,4.0,7.0,16.0,36.0,7.0,10.0,10.0,11.0,19.0,36.0,7.0,10.0,7.0,11.0,1.0,143.0,1.0,6.0,10.0,14.0,33.0,6.0,10.0,1.0,4.0,14.0,37.0,6.0,8.0,1.0,2.0,33.0,57.0,8.0,12.0,479.0,0.0,2.0,15.0,21.0,47.0,4.0,5.0,180.0,0.0,0.0,15.0,3.0,7.299999999999997,Decision - Unanimous,,,,,,
a2523a8565fe4361,"December 13, 2025",Heavyweight,0,Sean Sharaf,Steven Asplund,32.4,75.0,77.0,252.0,0.0,27.4,77.0,78.0,261.0,0.3402646502835539,0.0,0.0,0.0,43.0,89.0,50.0,134.0,15.0,18.0,1.0,1.0,66.0,149.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,71.0,137.0,154.0,276.0,6.0,6.0,10.0,10.0,166.0,285.0,4.0,7.0,0.0,0.0,66.0,153.0,0.0,1.0,0.0,0.0,0.0,8.816666666666666,170.0,292.0,0.0,0.0,3.0,0.0,0.0,8.816666666666666,-1.0,5.0,KO/TKO,,,,,,
ceb5b0f1f6daddf6,"December 13, 2025",Women's Bantamweight,0,Melissa Croden,Luana Santos,34.7,69.0,68.0,135.0,2.933333333333333,25.7,66.0,67.0,135.0,37.4,1.0,44.0,1.0,7.0,27.0,9.0,53.0,7.0,8.0,6.0,13.0,18.0,69.0,4.0,5.0,0.0,0.0,0.0,111.0,0.0,10.0,13.0,6.0,16.0,4.0,5.0,2.0,3.0,10.0,20.0,2.0,3.0,0.0,1.0,22.0,74.0,0.0,1.0,44.0,0.0,0.0,15.0,12.0,24.0,3.0,7.0,561.0,0.0,1.0,15.0,1.0,9.000000000000004,Decision - Unanimous,,,,,,
ac56a1052c4c8f63,"December 13, 2025",Heavyweight,0,Allen Frye Jr.,Guilherme Pat,27.7,77.0,80.0,265.0,31.666666666666668,31.7,78.0,81.0,265.0,2.933333333333333,0.0,138.0,0.0,19.0,49.0,17.0,65.0,12.0,12.0,4.0,9.0,19.0,69.0,14.0,17.0,0.0,0.0,0.0,3.0,0.0,24.0,35.0,53.0,88.0,8.0,9.0,3.0,3.0,54.0,90.0,10.0,10.0,0.0,0.0,33.0,86.0,0.0,0.0,475.0,0.0,0.0,15.0,64.0,100.0,0.0,0.0,44.0,0.0,0.0,15.0,-1.0,-4.0,Decision - Unanimous,,,,,,
71170fb7ade3e1f4,"December 13, 2025",Women's Flyweight,1,Jamey-Lyn Horth,Tereza Bleda,35.7,67.0,66.0,125.0,1.44,24.0,69.0,71.0,125.0,38.4,0.0,3.0,0.0,16.0,22.0,12.0,17.0,3.0,4.0,1.0,1.0,9.0,15.0,7.0,7.0,0.0,0.0,0.0,80.0,0.0,2.0,12.0,0.0,8.0,2.0,2.0,0.0,2.0,1.0,11.0,1.0,1.0,0.0,0.0,16.0,22.0,0.0,0.0,3.0,0.0,0.0,2.083333333333333,2.0,12.0,0.0,4.0,80.0,0.0,0.0,2.083333333333333,-5.0,11.700000000000005,KO/TKO,,,,,,
4a0db214d9721d6e,"December 06, 2025",Bantamweight,0,Merab Dvalishvili,Petr Yan,34.9,66.0,68.0,135.0,12.48,32.8,67.0,67.0,135.0,7.0,1.0,93.0,0.0,22.0,68.0,105.0,341.0,22.0,34.0,7.0,8.0,116.0,353.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,17.0,32.0,109.0,195.0,17.0,19.0,13.0,16.0,119.0,204.0,18.0,24.0,2.0,2.0,134.0,383.0,2.0,29.0,312.0,0.0,2.0,25.0,139.0,230.0,5.0,9.0,175.0,0.0,0.0,25.0,1.0,2.1000000000000014,Decision - Unanimous,,,,,,
